,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
7230,35638033,https://www.airbnb.com/rooms/35638033,20240929170954,2024-09-30,city scrape,HABITACIÃ“N TRIPLE TERRAZA/DESAYUNO EN AGROTURISMO,"We are an authentic Agroturismo in Costa Brava. <br />Rural decor and private terrace overlooking the country. It has a private bathroom with bathtub and hairdryer,TV,air conditioning, central heating, 3 comfortable beds of 105X200, separated or forming a double bed of 210x200 and single bed.Capacity for 3 people.<br />There is a daily cleaning service and a full breakfast of payÃ©s, with homemade products such as sausages, organic products and local produce.","We are located in the heart of EmpordÃ , in the middle of fields, with a lot of tranquility, but at the same time, close to the best of the area, such as the medieval villages of Ullastret a 5-minute drive, Peratallada and Pals a 10-minute drive. The beaches of l 'Estartit, Pals and Begur are a 10-15 minute drive. There's plenty to visit.<br /><br />In order to be able to stay in such a quiet and rural environment and visit the surroundings, you need your own transport.",https://a0.muscache.com/pictures/8c0b9cca-e276-4896-b8a1-b6e70d5dfa67.jpg,62264867,https://www.airbnb.com/users/show/62264867,Joan,2016-03-09,"LlabiÃ , Spain","Els Masos d'en Coll, es un agroturismo donde vivirÃ¡s el autÃ©ntico turismo rural EcoSlow._x000D_
_x000D_
Un remanso de paz en el corazÃ³n del EmpordÃ¡, en la Costa Brava. Desconecta de la rutina y conecta con la naturaleza._x000D_
_x000D_
Ideal tanto si sois una pareja como una familia o grupo, encontrareis 6 preciosas habitaciones con desayuno y limpieza diaria con detalles romÃ¡nticos. _x000D_
_x000D_
O bien 3 apartamentos de dos plantas para 4 persnas y 2 casas de alquiler completo para 5 y 6 personas, lo mejor para el turismo familiar._x000D_
Estas casas y apartamentos estan totalmente equipados, con cocina  con vitrocerÃ¡mica, horno, microondas, lavavajillas, lavadora y todo el menaje necesario; salÃ³n-comedor con tv de pantalla plana, equipo de mÃºsica y estufa de leÃ±a. AdemÃ¡s dispone de calefacciÃ³n, aire climatizado y Wifi. Siempre hay una zona exterior con barbacoa y salida directa al jardÃ­n y piscina compartida._x000D_
_x000D_
Situado en el campo, en el corazÃ³n de la Costa Brava, cerca de las fantÃ¡sticas playas del Mar MediterrÃ¡neo, famosos Parques Naturales con mucha biodiversidad, preciosos pueblos medievales, museos y rutas de naturaleza para caminar o ir en bici._x000D_
_x000D_
Tiene 2 piscinas exteriores, grandes zonas al aire libre, granja con animales, huerto ecolÃ³gico, zona de juegos para niÃ±os, salas multiusos, biblioteca, informaciÃ³n turÃ­stica y gimnasio, todo gratuito. Hay WiFi libre en todas partes. _x000D_
_x000D_
Te ofrecemos  muchÃ­simas propuestas de packs y experiencias para que disfrutes de unas vacaciones perfectas._x000D_
_x000D_
Alojarse en nuestra casa implica vivir en pleno campo, vivimos en Ã©sta finca cultivando las tierras desde mÃ¡s de 6 generaciones._x000D_
_x000D_
",,,,f,https://a0.muscache.com/im/pictures/user/User-62264867/original/f88b6e36-25b6-4d15-88ad-e719459e5f1e.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-62264867/original/f88b6e36-25b6-4d15-88ad-e719459e5f1e.jpeg?aki_policy=profile_x_medium,,9,14,"['email', 'phone']",t,t,"LlabiÃ , Catalunya, Spain",Fontanilles,,42.01853,3.08799,Private room in farm stay,Private room,3,1.0,1 private bath,1.0,2.0,"[""Heating"", ""Washer"", ""TV"", ""High chair"", ""Air conditioning"", ""Essentials"", ""Lock on bedroom door"", ""Long term stays allowed"", ""Hair dryer"", ""Iron"", ""Host greets you"", ""Crib"", ""Breakfast"", ""Wifi"", ""Pool"", ""Hangers"", ""Pack \u2019n play/Travel crib"", ""Free parking on premises"", ""Hot water""]",175.0,2,30,1,7,30,30,2.3,30.0,,t,24,54,60,60,2024-09-30,0,0,0,,,,,,,,,,PG-000484,t,9,1,8,0,
7237,35334861,https://www.airbnb.com/rooms/35334861,20240929170954,2024-09-29,city scrape,Apartamento en Can Fonsu 1,"Apartment equipped in a large farmhouse with shared spaces. The apartments have a kitchen, living room, bathroom and two bedrooms; one with a double bed and another with two single beds.<br /> Direct access to the garden, football field, basketball... Parking and free wifi throughout the house.<br /><br />There is 1â‚¬per adult per night in cash tourist tax.",,https://a0.muscache.com/pictures/d0e49ae0-869c-4342-8547-f4be009d6925.jpg,266013636,https://www.airbnb.com/users/show/266013636,Marc,2019-06-03,,,,,0.0,f,https://a0.muscache.com/im/pictures/user/346842f0-b2b1-476f-a391-987397ebe0cb.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/346842f0-b2b1-476f-a391-987397ebe0cb.jpg?aki_policy=profile_x_medium,,3,6,"['email', 'phone']",t,f,,Vilademuls,,42.14777,2.87515,Private room in rental unit,Private room,4,1.0,1 private bath,2.0,4.0,"[""Heating"", ""Fire extinguisher"", ""Washer"", ""Private living room"", ""TV"", ""Free parking on premises"", ""Private entrance"", ""Kitchen"", ""Air conditioning"", ""Wifi"", ""Smoking allowed"", ""Hangers"", ""Essentials"", ""Pool""]",100.0,4,1125,4,4,1125,1125,4.0,1125.0,,t,7,37,67,67,2024-09-29,4,0,0,2019-07-25,2021-08-20,5.0,5.0,4.5,4.75,4.75,4.75,5.0,ATG-000033,f,3,0,3,0,0.06
7238,35638304,https://www.airbnb.com/rooms/35638304,20240929170954,2024-09-30,city scrape,HABITACIÃ“N RURAL CON VISTAS Y DESAYUNO,"We are an authentic Agrotourism on the Costa Brava. <br /><br />Decorated in rural style and with charm, they have private bathroom with bathtub and hairdryer, TV, air conditioning, heating, and comfortable bed of 150Ã—200. <br />With beautiful views of sunrise and forest. <br /><br />It is possible to have an extra bed for children with an extra fee. Capacity for 2 adults + 1 child. <br /><br />They have daily housekeeping and breakfast, with products made at home such as some charcuterie, organic and local products.","We are located in the heart of EmpordÃ , in the middle of fields, with a lot of tranquility, but at the same time, close to the best of the area, such as the medieval villages of Ullastret a 5-minute drive, Peratallada and Pals a 10-minute drive. The beaches of l 'Estartit, Pals and Begur are a 10-15 minute drive. There's plenty to visit.",https://a0.muscache.com/pictures/fad0a5b4-2bcc-4f54-a942-801fc5671643.jpg,62264867,https://www.airbnb.com/users/show/62264867,Joan,2016-03-09,"LlabiÃ , Spain","Els Masos d'en Coll, es un agroturismo donde vivirÃ¡s el autÃ©ntico turismo rural EcoSlow._x000D_
_x000D_
Un remanso de paz en el corazÃ³n del EmpordÃ¡, en la Costa Brava. Desconecta de la rutina y conecta con la naturaleza._x000D_
_x000D_
Ideal tanto si sois una pareja como una familia o grupo, encontrareis 6 preciosas habitaciones con desayuno y limpieza diaria con detalles romÃ¡nticos. _x000D_
_x000D_
O bien 3 apartamentos de dos plantas para 4 persnas y 2 casas de alquiler completo para 5 y 6 personas, lo mejor para el turismo familiar._x000D_
Estas casas y apartamentos estan totalmente equipados, con cocina  con vitrocerÃ¡mica, horno, microondas, lavavajillas, lavadora y todo el menaje necesario; salÃ³n-comedor con tv de pantalla plana, equipo de mÃºsica y estufa de leÃ±a. AdemÃ¡s dispone de calefacciÃ³n, aire climatizado y Wifi. Siempre hay una zona exterior con barbacoa y salida directa al jardÃ­n y piscina compartida._x000D_
_x000D_
Situado en el campo, en el corazÃ³n de la Costa Brava, cerca de las fantÃ¡sticas playas del Mar MediterrÃ¡neo, famosos Parques Naturales con mucha biodiversidad, preciosos pueblos medievales, museos y rutas de naturaleza para caminar o ir en bici._x000D_
_x000D_
Tiene 2 piscinas exteriores, grandes zonas al aire libre, granja con animales, huerto ecolÃ³gico, zona de juegos para niÃ±os, salas multiusos, biblioteca, informaciÃ³n turÃ­stica y gimnasio, todo gratuito. Hay WiFi libre en todas partes. _x000D_
_x000D_
Te ofrecemos  muchÃ­simas propuestas de packs y experiencias para que disfrutes de unas vacaciones perfectas._x000D_
_x000D_
Alojarse en nuestra casa implica vivir en pleno campo, vivimos en Ã©sta finca cultivando las tierras desde mÃ¡s de 6 generaciones._x000D_
_x000D_
",,,,f,https://a0.muscache.com/im/pictures/user/User-62264867/original/f88b6e36-25b6-4d15-88ad-e719459e5f1e.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-62264867/original/f88b6e36-25b6-4d15-88ad-e719459e5f1e.jpeg?aki_policy=profile_x_medium,,9,14,"['email', 'phone']",t,t,"LlabiÃ , Catalunya, Spain",Fontanilles,,42.01893,3.09375,Private room in farm stay,Private room,2,1.0,1 private bath,1.0,2.0,"[""Heating"", ""TV"", ""Free street parking"", ""High chair"", ""Clothing storage"", ""Air conditioning"", ""Outdoor dining area"", ""Essentials"", ""Hair dryer"", ""Outdoor furniture"", ""Private living room"", ""Host greets you"", ""Crib"", ""Ping pong table"", ""Breakfast"", ""Wifi"", ""Bidet"", ""Shower gel"", ""Bikes"", ""Pool"", ""Backyard"", ""Luggage dropoff allowed"", ""Room-darkening shades"", ""Mosquito net"", ""Hangers"", ""Bed linens"", ""Pack \u2019n play/Travel crib"", ""Bathtub"", ""Fire extinguisher"", ""Board games"", ""Extra pillows and blankets"", ""Body soap"", ""Children\u2019s books and toys"", ""Free parking on premises"", ""Dining table"", ""Hot water""]",134.0,1,52,1,7,52,52,2.3,52.0,,t,23,53,62,62,2024-09-30,3,0,0,2021-10-07,2022-05-16,4.67,4.33,5.0,4.33,4.0,5.0,4.67,PG-000484,t,9,1,8,0,0.08
7243,35649337,https://www.airbnb.com/rooms/35649337,20240929170954,2024-09-30,city scrape,HabitaciÃ³n Sa Palomera c/baÃ±o privado(50 m playa),"Modern, cozy and totally private room with full bathroom for 2 people in a building of 4 accommodations. <br />Perfect location, 50m from the famous beach ""Sa Palomera"" and in the historic center of Blanes. Each reservation includes a set of linens and a set of towels. Please log in with the lock. Self check-in for full flexibility at your arrival . 300m from the Barcelona-Girona bus station.",,https://a0.muscache.com/pictures/fa7dbc3d-467e-4a68-b751-27503f1869e8.jpg,266937149,https://www.airbnb.com/users/show/266937149,Martina,2019-06-07,"Catalonia, Spain","Welcome to Blanes, Costa Brava! ",within an hour,1.0,1.0,f,https://a0.muscache.com/im/pictures/user/0fdedc38-baa4-49fc-93af-9c52f6b1f948.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/0fdedc38-baa4-49fc-93af-9c52f6b1f948.jpg?aki_policy=profile_x_medium,,4,4,['phone'],t,t,,Blanes,,41.67397,2.79128,Private room in rental unit,Private room,2,1.0,1 private bath,1.0,1.0,"[""Resort access"", ""TV"", ""Shampoo"", ""Air conditioning"", ""Wifi"", ""Self check-in"", ""Beach access \u2013 Beachfront"", ""Essentials"", ""Hot water"", ""Keypad""]",38.0,2,120,2,2,1125,1125,2.0,1125.0,,t,21,51,68,152,2024-09-30,106,42,4,2019-06-24,2024-09-19,4.68,4.75,4.8,4.85,4.88,4.85,4.56,hUTG-045266,t,4,3,1,0,1.65
7257,35666789,https://www.airbnb.com/rooms/35666789,20240929170954,2024-09-30,city scrape,HABITACIÃ“N RURAL SUPERIOR CON VISTAS Y DESAYUNO,"We are an authentic Agrotourism on the Costa Brava. <br /><br />Decorated in rural style and with charm, they have private bathroom with bathtub and hairdryer, TV, air conditioning, heating, and comfortable bed of 150Ã—200. <br />With beautiful views of sunrise and forest. <br /><br />It is possible to have an extra bed for children with an extra fee. Accomodates 2 adults + 2 children. <br /><br />They have daily housekeeping and breakfast, with products made at home such as some charcuterie, organic and local products.","We are located in the heart of EmpordÃ , in the middle of fields, with a lot of tranquility, but at the same time, close to the best of the area, such as the medieval villages of Ullastret a 5-minute drive, Peratallada and Pals a 10-minute drive. The beaches of l 'Estartit, Pals and Begur are a 10-15 minute drive. There's plenty to visit.",https://a0.muscache.com/pictures/d20dc6b9-e266-46da-bb8a-cf2d4126c512.jpg,62264867,https://www.airbnb.com/users/show/62264867,Joan,2016-03-09,"LlabiÃ , Spain","Els Masos d'en Coll, es un agroturismo donde vivirÃ¡s el autÃ©ntico turismo rural EcoSlow._x000D_
_x000D_
Un remanso de paz en el corazÃ³n del EmpordÃ¡, en la Costa Brava. Desconecta de la rutina y conecta con la naturaleza._x000D_
_x000D_
Ideal tanto si sois una pareja como una familia o grupo, encontrareis 6 preciosas habitaciones con desayuno y limpieza diaria con detalles romÃ¡nticos. _x000D_
_x000D_
O bien 3 apartamentos de dos plantas para 4 persnas y 2 casas de alquiler completo para 5 y 6 personas, lo mejor para el turismo familiar._x000D_
Estas casas y apartamentos estan totalmente equipados, con cocina  con vitrocerÃ¡mica, horno, microondas, lavavajillas, lavadora y todo el menaje necesario; salÃ³n-comedor con tv de pantalla plana, equipo de mÃºsica y estufa de leÃ±a. AdemÃ¡s dispone de calefacciÃ³n, aire climatizado y Wifi. Siempre hay una zona exterior con barbacoa y salida directa al jardÃ­n y piscina compartida._x000D_
_x000D_
Situado en el campo, en el corazÃ³n de la Costa Brava, cerca de las fantÃ¡sticas playas del Mar MediterrÃ¡neo, famosos Parques Naturales con mucha biodiversidad, preciosos pueblos medievales, museos y rutas de naturaleza para caminar o ir en bici._x000D_
_x000D_
Tiene 2 piscinas exteriores, grandes zonas al aire libre, granja con animales, huerto ecolÃ³gico, zona de juegos para niÃ±os, salas multiusos, biblioteca, informaciÃ³n turÃ­stica y gimnasio, todo gratuito. Hay WiFi libre en todas partes. _x000D_
_x000D_
Te ofrecemos  muchÃ­simas propuestas de packs y experiencias para que disfrutes de unas vacaciones perfectas._x000D_
_x000D_
Alojarse en nuestra casa implica vivir en pleno campo, vivimos en Ã©sta finca cultivando las tierras desde mÃ¡s de 6 generaciones._x000D_
_x000D_
",,,,f,https://a0.muscache.com/im/pictures/user/User-62264867/original/f88b6e36-25b6-4d15-88ad-e719459e5f1e.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-62264867/original/f88b6e36-25b6-4d15-88ad-e719459e5f1e.jpeg?aki_policy=profile_x_medium,,9,14,"['email', 'phone']",t,t,"LlabiÃ , Catalunya, Spain",Fontanilles,,42.01883,3.09375,Private room in farm stay,Private room,2,1.5,1.5 baths,1.0,3.0,"[""Heating"", ""TV"", ""Free street parking"", ""High chair"", ""Clothing storage"", ""Air conditioning"", ""Outdoor dining area"", ""Essentials"", ""Hair dryer"", ""Outdoor furniture"", ""Host greets you"", ""Crib"", ""Ping pong table"", ""Breakfast"", ""Wifi"", ""Bidet"", ""Shower gel"", ""Bikes"", ""Pool"", ""Dedicated workspace"", ""Backyard"", ""Luggage dropoff allowed"", ""Room-darkening shades"", ""Mosquito net"", ""Hangers"", ""Bed linens"", ""Pack \u2019n play/Travel crib"", ""Bathtub"", ""Fire extinguisher"", ""Board games"", ""Extra pillows and blankets"", ""Body soap"", ""Children\u2019s books and toys"", ""Free parking on premises"", ""First aid kit"", ""Dining table"", ""Hot water""]",146.0,1,599,1,7,599,599,2.3,599.0,,t,26,56,65,65,2024-09-30,3,0,0,2019-09-12,2022-11-13,5.0,5.0,5.0,5.0,5.0,4.33,4.67,PG-000484,t,9,1,8,0,0.05
7259,35694774,https://www.airbnb.com/rooms/35694774,20240929170954,2024-09-30,city scrape,Bonita habitaciÃ³n doble con desayuno casero,"In the Casa de PagÃ¨s Mas po, old renovated pajar located in the 19th century farmhouse where agricultural work is still carried out in ecological and sustainable model, you could take your time to work from home. We have a table in your room or you can work in the common room as you prefer.<br />Exceptionally WE GIVE ACCESS TO the KITCHEN so you can spend 1 week, 2 or as many as you want in the middle of a quiet rural environment.",,https://a0.muscache.com/pictures/prohost-api/Hosting-35694774/original/ba1973b7-d622-48f4-901c-4738d697a64f.jpeg,141002047,https://www.airbnb.com/users/show/141002047,Jordina,2017-07-17,"PuigcerdÃ , Spain","M'agrada acollir la gent i poder compartir experiÃ¨ncies. M'agrada la natura, els animals i ocupar-me de l'explotaciÃ³ agrÃ­cola de la famÃ­lia. ",within an hour,1.0,1.0,t,https://a0.muscache.com/im/pictures/user/d7d050e0-57a9-48d1-a8bd-e6a26d76618c.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d7d050e0-57a9-48d1-a8bd-e6a26d76618c.jpg?aki_policy=profile_x_medium,,4,4,"['email', 'phone']",t,t,,PuigcerdÃ ,,42.43376,1.92051,Private room in bed and breakfast,Private room,2,1.0,1 private bath,1.0,1.0,"[""Free street parking"", ""High chair"", ""Air conditioning"", ""Indoor fireplace: wood-burning"", ""Essentials"", ""Lock on bedroom door"", ""Hair dryer"", ""Long term stays allowed"", ""Iron"", ""Mountain view"", ""Ethernet connection"", ""Garden view"", ""Breakfast"", ""Wifi"", ""Dedicated workspace"", ""Radiant heating"", ""Room-darkening shades"", ""Private entrance"", ""Shampoo"", ""Hangers"", ""Pack \u2019n play/Travel crib"", ""Bed linens"", ""Free carport on premises \u2013 4 spaces"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Crib - available upon request"", ""Shared patio or balcony"", ""First aid kit"", ""Hot water"", ""24 inch TV"", ""Baby bath"", ""City skyline view""]",99.0,1,1125,1,2,180,180,1.1,180.0,,t,12,34,56,140,2024-09-30,78,15,0,2019-07-31,2024-08-19,4.94,4.94,4.99,4.94,4.95,4.91,4.92,PG-001140,t,4,0,4,0,1.24
7275,35726610,https://www.airbnb.com/rooms/35726610,20240929170954,2024-09-30,city scrape,HabitaciÃ³n privada1 doble Palafrugell cerca playas,"Spacious room in Palafrugell's shared house, with excellent lighting.  In addition, the house has living room, bathroom, balcony and terrace that you can use apart from your private room. Located near the center, in a green environment, on the Costa Brava, in the heart of Baix EmpordÃ , 3.9km from Llafranc and Calella de Palafrugell, near beaches and round roads, where you will find coves, villages and landscapes near home. You'll be cohabiting with the host and other guests.","The neighborhood is an urban place but in a space dominated by greenery, a few minutes walk from home there is a bakery and 2 supermarkets. The centre of Palafrugell is also close, but far from the bustle.",https://a0.muscache.com/pictures/5533f155-cba7-4ea6-b5f2-d20a48d01bb4.jpg,65442556,https://www.airbnb.com/users/show/65442556,Olga,2016-04-02,"Catalonia, Spain","Como anfitriona me gusta dar espacio propio y autonomÃ­a al huÃ©sped, aunque prestando la ayuda necesaria para que se sienta cÃ³modo y atendido.

Espero que disfrutÃ©is!",within an hour,1.0,1.0,t,https://a0.muscache.com/im/pictures/user/User-65442556/original/98f02201-56ff-4c24-aa70-2d445ee785dc.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-65442556/original/98f02201-56ff-4c24-aa70-2d445ee785dc.jpeg?aki_policy=profile_x_medium,,8,8,"['email', 'phone']",t,t,"Palafrugell, Catalunya, Spain",Palafrugell,,41.91252,3.15569,Private room in home,Private room,2,1.0,1 shared bath,1.0,1.0,"[""TV"", ""Free street parking"", ""Essentials"", ""Refrigerator"", ""Hair dryer"", ""Private living room"", ""Host greets you"", ""Wifi"", ""Smoking allowed"", ""Shower gel"", ""Dishes and silverware"", ""Microwave"", ""Kitchen"", ""Hangers"", ""Freezer"", ""Bed linens"", ""Bathtub"", ""Extra pillows and blankets"", ""Body soap"", ""Toaster"", ""Hot water""]",99.0,1,15,1,1,15,15,1.0,15.0,,t,29,59,89,179,2024-09-30,60,7,0,2019-07-21,2024-08-29,4.77,4.82,4.9,4.87,4.93,4.62,4.58,HUTG-011428,f,8,2,6,0,0.95
7280,35399676,https://www.airbnb.com/rooms/35399676,20240929170954,2024-09-30,city scrape,Bed&breakfast Bel,"Located just 10 minutes from the beach Bed & Breakfast Bel is the ideal place to spend your holidays. It is ideal for couples, our hostess Bel will receive you with open arms and inform you to the best places in the city and surroundings. In Bel's house you have the room with air-conditining, the complete bathroom inside the room, the magnificent dressing room, small living room with TV, private rooftop pool and parking, you can not ask for more, well yes, breakfast included!!",The accommodation is located in a quiet area of Sant Feliu and a few meters from the center. From the terrace you can enjoy views over the city and the necessary peace to disconnect from the routine.,https://a0.muscache.com/pictures/prohost-api/Hosting-35399676/original/9723311a-41bf-4278-9285-7f5d3e62184b.jpeg,125660503,https://www.airbnb.com/users/show/125660503,Iolanda,2017-04-13,"Santa Cristina d'Aro, Spain","Hace muchos aÃ±os que me dedico al alquiler vacacional y lo mejor de todo siempre son los clientes, me encanta poder compartir con todos vosotros los mejores lugares de nuestra tierra, lo que esteis buscando seguro que lo encontrais aquÃ­. Dispongo de distintas casas de alquiler unas mas familiares otras mas tranquilas, cerca o lejos de la playa, tu decides , solo dime que necesitas y hare todo que este en mi mano para que tengais las vacaciones que estais deseando. 
Gracias por escogernos!!
Hasta pronto",within an hour,1.0,1.0,f,https://a0.muscache.com/im/pictures/user/aeceb81a-0390-4514-80bf-82fbe29cee0b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/aeceb81a-0390-4514-80bf-82fbe29cee0b.jpg?aki_policy=profile_x_medium,,14,14,"['email', 'phone']",t,t,"Sant Feliu de GuÃ­xols, Catalunya, Spain",Sant Feliu de GuÃ­xols,,41.78291,3.03338,Private room in rental unit,Private room,2,1.0,1 private bath,1.0,1.0,"[""Heating"", ""TV"", ""Patio or balcony"", ""Air conditioning"", ""Outdoor dining area"", ""Essentials"", ""Outdoor furniture"", ""Iron"", ""Private living room"", ""Ethernet connection"", ""Private pool"", ""Breakfast"", ""Wifi"", ""Sun loungers"", ""Dedicated workspace"", ""Gym"", ""Dishes and silverware"", ""Microwave"", ""Room-darkening shades"", ""Shampoo"", ""Hangers"", ""Bed linens"", ""Mini fridge"", ""Fire extinguisher"", ""Free parking on premises"", ""Children\u2019s books and toys"", ""First aid kit"", ""Hot water""]",134.0,2,20,1,4,364,364,1.9,364.0,,t,16,44,74,330,2024-09-30,21,1,0,2019-06-22,2024-07-19,5.0,4.95,5.0,5.0,5.0,4.9,4.95,LLG-000471,t,13,12,1,0,0.33
7301,35451267,https://www.airbnb.com/rooms/35451267,20240929170954,2024-09-30,city scrape,Oldtown Girona En-Suite Dreams 1,"Cosy, funky and affordable guest rooms in the city center of Girona!<br /><br />Modern decor fused with some vintage pieces make these great en-suite rooms perfect for a city break or even long term visitors.<br /><br />Perfectly located in Gironaâ€™s old town, the Eiffel Bridge, plaÃ§a Independencia, the BarrÃ­ Vell and the city park are all on your doorstep! <br /><br />Guest kitchen, WiFi, nice coffee available!",,https://a0.muscache.com/pictures/hosting/Hosting-35451267/original/45c9efc6-b8fe-4589-a940-5ae1bed635d1.jpeg,114509,https://www.airbnb.com/users/show/114509,Stevie,2010-04-27,"Girona, Spain","im Steve, living in Catalunya for 20+ yrs, originally from Dublin. I speak English, Spanish, Russian, Portuguese, ein bisschen Deutsch..._x000D_
_x000D_
I work in  tourism, I know the city pretty well, and can recommend any and all kinds of places to go out and dine, drink natural wine, beer, dance_x000D_
_x000D_
I like to give guests a good overview of the city on arrival - i will sit down with a map and recommend  places, bars and restaurants based on what you like.",within an hour,0.97,0.82,f,https://a0.muscache.com/im/pictures/user/a5a4bdd9-6065-4100-8720-d109b391a857.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/a5a4bdd9-6065-4100-8720-d109b391a857.jpg?aki_policy=profile_x_medium,L'Antiga Esquerra de l'Eixample,9,14,"['email', 'phone']",t,t,,Girona,,41.98517,2.82153,Private room in rental unit,Private room,1,1.0,1 bath,1.0,1.0,"[""Kitchen"", ""Air conditioning"", ""Wifi"", ""First aid kit"", ""Lock on bedroom door"", ""Dedicated workspace""]",60.0,31,365,31,31,365,365,31.0,365.0,,t,30,60,90,270,2024-09-30,0,0,0,,,,,,,,,,,t,8,1,7,0,
7318,35792743,https://www.airbnb.com/rooms/35792743,20240929170954,2024-09-30,city scrape,"Cap Sa Sal. Recinto privado en Begur, Costa Brava","In the exclusive development of Cap Sa Sal, which was an old luxury hotel, you will find everything you need to make your vacation a disconnect from the routine you are looking for. Located above the sea, surrounded by pine trees of the Mediterranean and other vegetation, you can enjoy spectacular views, swimming pool with sea water, the luxury of having a private rock beach with hammocks, gym area, reading area, work with wiffi, fenced park for children and a thousand more corners to discover.","Cap Sa Sal is located next to the beautiful coves of Aguafreda, Sa Tuna and Sa Riera which you can access by car or on foot on round roads. Within a 15-minute drive you can reach the coves of Aiguablava, Platja Fonda or Fornells or 9 minutes by car, you will find the village of Begur where you can visit its historic streets, the views from the castle watching the sunset, restaurants, shops, bars, a group of music playing and singing can be another of the chores of the area. <br /><br />Pals, Palamos, Platja d'Aro, Peratallada and many other villages to visit less than 30 minutes away.",https://a0.muscache.com/pictures/249f2fec-85c3-4494-a1ac-a3467389fb77.jpg,268123930,https://www.airbnb.com/users/show/268123930,Aida,2019-06-12,,,,,0.0,f,https://a0.muscache.com/im/pictures/user/5695006d-2584-4018-ad7c-c77d6141ad1b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/5695006d-2584-4018-ad7c-c77d6141ad1b.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone']",t,t,"Begur, Catalunya, Spain",Begur,,41.96757,3.22989,Private room in loft,Private room,4,1.0,1 private bath,1.0,1.0,"[""Heating"", ""TV"", ""Air conditioning"", ""Essentials"", ""Refrigerator"", ""Boat slip"", ""Elevator"", ""Pool table"", ""Outdoor furniture"", ""Hammock"", ""Laundromat nearby"", ""Exercise equipment"", ""Clothing storage: closet"", ""Piano"", ""Ping pong table"", ""Wifi"", ""Smoking allowed"", ""Private beach access \u2013 Beachfront"", ""Dedicated workspace"", ""Gym"", ""Backyard"", ""Dishes and silverware"", ""Microwave"", ""Room-darkening shades"", ""Private entrance"", ""Wine glasses"", ""Kitchen"", ""Exterior security cameras on property"", ""Shared outdoor pool - available seasonally, infinity, saltwater"", ""Hangers"", ""Paid washer \u2013 In building"", ""Mini fridge"", ""Paid dryer \u2013 In building"", ""Extra pillows and blankets"", ""Coffee maker"", ""Free parking on premises"", ""Cooking basics"", ""Private patio or balcony"", ""Hot water"", ""Babysitter recommendations""]",81.0,31,730,31,31,730,730,31.0,730.0,,t,23,53,83,358,2024-09-30,0,0,0,,,,,,,,,,Exempt,f,1,0,1,0,
